verdict,text
0, Tall hiking boots in technical cotton garbardine with padded collars for added comfort
0, Not too short not too long just right around the waistband 
0, The shoulder strap features two holes so its length can be adjusted allowing the bag to be carried by hand over the shoulder or as a crossbody style 
0, A detachable cotton-and-leather shoulder strap wraps around the entire bag like a ring 
0, The micro version of the Bale Bag combines elegance and tradition in a minimalist modern design 
0, Its name and cube-shaped silhouette is inspired by cashmere storage bales strongly evoking Loro Piana’s artisanal expertise 
0, Loro Piana’s distinctive heritage is embodied in the Bale Bag — a new icon of laidback timeless elegance 
0, Logo label at front waist 
0, Side slits 
0, Narrow straps 
0, Deep scoop neckline 
0, Our Rib Xssentials Tank features a deep scoop neckline our X logo on the front waist and side slits 
0, Laidback but always ready to stunt 
0, Relaxed fit 
0, Take extra 1 of the precious elements so that the raw 2 retain their natural structure and texture 
0, Take special 1 of your Loro Piana product to prolong its life 
0, Model measures height 5' 97 177cm bust 276 70cm waist 228 58cm hips 335 85cm 
0, Fastens with a belt 
0, Three-quarter sleeves 
0, An exaggerated fit that feels extra roomy 
0, Three-quarter sleeves 
0, Double-stitched moustache and handsewn trim
0, The soles feature a new version of the LP logo 
0, The boots are lined with lightweight and breathable kummel-coloured technical material with an antibacterial treatment 
0, Loro Piana’s rich heritage is embodied in a capsule collection defined by natural shades providing a new concept of everyday luxury and comfort for the coldest days of the year
0, Featuring a light balloon hem it is perfect for leisure-time lounging and in casual looks
0, Front and back yoke
0, Crafted with only one centre seam
0, Model wears an IT S
0, Model measures height 5' 109 180cm bust 307 78cm waist 244 62cm hips 358 91cm
0, Product Code FAN1844
0, Take special care of your Loro Piana product to prolong its life
0, Take extra care of the precious elements so that the raw materials retain their natural structure and texture
0, Loro Piana products are designed to evolve over time developing their unique character
0, This classic summertime baseball cap is defined by a soft lightweight deconstructed design
0, Its sleek silhouette is enhanced by distinctive sophisticated details
0, Monochromatic covered elastic insert at the back
0, Front embroidery with artichoke and cursive Loro Piana logo
0, Loro Piana’s rich heritage is embodied in a capsule collection defined by natural shades providing a new concept of everyday luxury and comfort for the coldest days of the year
